movie_id,character,actor
13353,Sally Brown,Kathy Steinberg
13353,Frieda / Violet,Ann Altieri
13353,Pigpen,Gail DeFaria
13353,Patty,Lisa DeFaria
13353,Schroeder / Shermy,Glenn Mendelson
13353,Snoopy,Bill Melendez
13353,Charlie Brown,Peter Robbins
9325,Mowgli (voice),Bruce Reitherman
9325,Baloo (voice),Phil Harris
9325,Bagheera (voice),Sebastian Cabot
9325,King Louie of the Apes (voice),Louis Prima
9325,Shere Khan (voice),George Sanders
9325,Kaa (voice),Sterling Holloway
9325,Col. Hathi (voice),J. Pat O'Malley
9325,Elephant (voice),Verna Felton
9325,Elephant (voice),Clint Howard
9325,Vulture (voice),Chad Stuart
667,James Bond,Sean Connery
667,Aki,Akiko Wakabayashi
667,Helga Brandt,Karin Dor
667,Kissy Suzuki,Mie Hama
667,Tiger Tanaka,Tetsur? Tamba
667,Mr. Osato,Teru Shimada
667,Ernst Stavro Blofeld,Donald Pleasence
667,M,Bernard Lee
667,Miss Moneypenny,Lois Maxwell
667,Q,Desmond Llewelyn
37247,Mrs. Robinson,Anne Bancroft
37247,Ben Braddock,Dustin Hoffman
37247,Elaine Robinson,Katharine Ross
37247,Mr. Robinson,Murray Hamilton
37247,Room Clerk,Buck Henry
37247,Carl Smith,Brian Avery
37247,Mr. McGuire,Walter Brooke
37247,Mr. Braddock,William Daniels
37247,Mrs. Braddock,Elizabeth Wilson
1879,Matt Drayton,Spencer Tracy
1879,Dr. John Wade Prentice,Sidney Poitier
1879,Christina Drayton,Katharine Hepburn
1879,Joanna Drayton,Katharine Houghton
1879,Tillie,Isabel Sanford
1879,Carhop,Alexandra Hay
1879,Monsignor Ryan,Cecil Kellaway
1879,Mrs. Prentice,Beah Richards
1879,Mr. Prentice,Roy Glenn
1879,Hilary St. George,Virginia Christine
475,Clyde Barrow,Warren Beatty
475,Bonnie Parker,Faye Dunaway
475,C.W. Moss,Michael J. Pollard
475,Eugene Grizzard,Gene Wilder
475,Buck Barrow,Gene Hackman
475,Blanche,Estelle Parsons
475,Frank Hamer,Denver Pyle
475,Ivan Moss,Dub Taylor
475,Velma Davis,Evans Evans
475,Bonnie's mother,Mabel Cavitt
3055,Anne Welles,Barbara Parkins
3055,Neely O'Hara,Patty Duke
3055,Jennifer North,Sharon Tate
3055,Lyon Burke,Paul Burke
3055,Tony Polar,Tony Scotti
3055,Miriam Polar,Lee Grant
3055,Helen Lawson,Susan Hayward
3055,Mel Anderson,Martin Milner
3055,Kevin Gillmore,Charles Drake
3055,Ted Casablanca,Alexander Davion
1654,Maj. John Reisman,Lee Marvin
1654,Maj. Gen. Worden,Ernest Borgnine
1654,Joseph Wladislaw,Charles Bronson
1654,Robert Jefferson,Jim Brown
1654,Victor Franko,John Cassavetes
1654,Sergeant Bowren,Richard Jaeckel
1654,Major Max Armbruster,George Kennedy
1654,Pedro Jiminez,Trini López
1654,Captain Stuart Kinder,Ralph Meeker
1654,Col. Everett Dasher Breed,Robert Ryan
12208,James Bond,David Niven
12208,Evelyn Tremble,Peter Sellers
12208,Vesper Lynd,Ursula Andress
12208,Le Chiffre,Orson Welles
12208,Mata Bond,Joanna Pettet
12208,The Detainer,Daliah Lavi
12208,Agent Mimi / Lady Fiona McTarry,Deborah Kerr
12208,Ransome,William Holden
